id,bus0,bus1,length,build_year,p_nom,carrier,underwater_fraction,tags
PCI-13.8-02+1,BE0 0 co2 stored,BE0 1 co2 stored,148.8,2029,8554.0,CO2 pipeline,0.0,"['PCI-13.8-02', 'PCI-13.8-04']"
PCI-13.1-01+2,BE0 0 co2 stored,NL0 0 co2 stored,139.7,2029,8554.0,CO2 pipeline,0.0,"['PCI-13.1-01', 'PCI-13.8-05', 'PCI-13.8-06']"
PCI-13.8-09,BE0 0 co2 stored,PCI-PMI 11 co2 stored,1296.8,2029,8554.0,CO2 pipeline,1.0,['PCI-13.8-09']
PCI-13.8-01,BE0 1 co2 stored,DE0 6 co2 stored,182.2,2029,8554.0,CO2 pipeline,0.0,['PCI-13.8-01']
PCI-13.8-03,BE0 1 co2 stored,LU0 0 co2 stored,125.7,2029,8554.0,CO2 pipeline,0.0,['PCI-13.8-03']
PCI-13.8-08,DE0 1 co2 stored,PCI-PMI 14 co2 stored,569.5,2029,8554.0,CO2 pipeline,0.99,['PCI-13.8-08']
PCI-13.4-04,DE0 7 co2 stored,DE0 8 co2 stored,203.2,2030,8554.0,CO2 pipeline,0.0,['PCI-13.4-04']
PCI-13.4-02,DE0 8 co2 stored,DE0 4 co2 stored,280.1,2030,8554.0,CO2 pipeline,0.0,['PCI-13.4-02']
PCI-13.4-03,DE0 8 co2 stored,DE0 7 co2 stored,203.2,2030,8554.0,CO2 pipeline,0.0,['PCI-13.4-03']
PCI-13.4-05,DK0 0 co2 stored,DK1 0 co2 stored,217.1,2030,8554.0,CO2 pipeline,0.12,['PCI-13.4-05']
PCI-13.5-01,FR0 1 co2 stored,FR0 8 co2 stored,251.3,2029,8554.0,CO2 pipeline,0.0,['PCI-13.5-01']
PCI-13.14-01,FR0 2 co2 stored,FR0 10 co2 stored,209.2,2029,8554.0,CO2 pipeline,0.0,['PCI-13.14-01']
PCI-13.12-01,FR0 6 co2 stored,ES0 4 co2 stored,341.0,2030,8554.0,CO2 pipeline,0.0,['PCI-13.12-01']
PCI-13.9-01,HU0 0 co2 stored,HR0 0 co2 stored,445.3,2028,8554.0,CO2 pipeline,0.0,['PCI-13.9-01']
PCI-13.5-02,IT0 5 co2 stored,IT0 0 co2 stored,207.7,2029,8554.0,CO2 pipeline,0.0,['PCI-13.5-02']
PCI-13.5-03,IT0 5 co2 stored,PCI-PMI 12 co2 stored,157.8,2029,8554.0,CO2 pipeline,1.0,['PCI-13.5-03']
PCI-13.1-02,NL0 0 co2 stored,BE0 0 co2 stored,139.7,2026,8554.0,CO2 pipeline,0.0,['PCI-13.1-02']
PCI-13.1-04+1,NL0 0 co2 stored,PCI-PMI 9 co2 stored,80.2,2028,8554.0,CO2 pipeline,1.0,"['PCI-13.1-04', 'PCI-13.2-02']"
PCI-13.13-01,NO1 2 co2 stored,PCI-PMI 11 co2 stored,195.3,2026,8554.0,CO2 pipeline,0.82,['PCI-13.13-01']
PCI-13.4-06,PCI-PMI 13 co2 stored,DK0 0 co2 stored,114.8,2030,8554.0,CO2 pipeline,0.0,['PCI-13.4-06']
PCI-13.4-01,PCI-PMI 13 co2 stored,PCI-PMI 14 co2 stored,278.7,2030,8554.0,CO2 pipeline,0.93,['PCI-13.4-01']
PCI-13.8-07,PCI-PMI 14 co2 stored,PCI-PMI 11 co2 stored,574.7,2029,8554.0,CO2 pipeline,1.0,['PCI-13.8-07']
PCI-13.1-03+1,PCI-PMI 9 co2 stored,PCI-PMI 10 co2 stored,145.9,2028,8554.0,CO2 pipeline,1.0,"['PCI-13.1-03', 'PCI-13.2-01']"
