id,bus0,bus1,length,build_year,p_nom,carrier,underwater_fraction,tags
PCI-10.1.1-01,AT0 0 H2,IT0 0 H2,313.3,2030,18667.0,H2 pipeline,0.0,['PCI-10.1.1-01']
PCI-9.5-04+1,BE0 0 H2,NL0 0 H2,139.7,2030,6468.0,H2 pipeline,0.0,"['PCI-9.5-04', 'PCI-9.5-05']"
PCI-9.5-06,BE0 1 H2,BE0 0 H2,148.8,2030,3234.0,H2 pipeline,0.0,['PCI-9.5-06']
PCI-9.5-02,BE0 1 H2,NL0 0 H2,213.3,2030,3234.0,H2 pipeline,0.0,['PCI-9.5-02']
PCI-10.2.1-02,CZ0 0 H2,DE0 2 H2,266.2,2030,6000.0,H2 pipeline,0.0,['PCI-10.2.1-02']
PCI-9.1.6-03,DE0 0 H2,DE0 5 H2,231.6,2030,8000.0,H2 pipeline,0.0,['PCI-9.1.6-03']
PCI-9.7.1-01+1,DE0 1 H2,DE0 6 H2,204.5,2030,3000.0,H2 pipeline,0.0,"['PCI-9.7.1-01', 'PCI-9.7.2-01']"
PCI-9.25-02,DE0 1 H2,PCI-PMI 2 H2,262.8,2030,15219.0,H2 pipeline,0.99,['PCI-9.25-02']
PCI-9.1.6-01+1,DE0 10 H2,DE0 3 H2,149.6,2030,11211.0,H2 pipeline,0.0,"['PCI-9.1.6-01', 'PCI-9.4-02']"
PCI-9.7.3-01,DE0 10 H2,DE0 6 H2,217.7,2027,8294.0,H2 pipeline,0.0,['PCI-9.7.3-01']
PCI-9.1.5-04+2,DE0 10 H2,FR0 3 H2,188.3,2029,8860.0,H2 pipeline,0.0,"['PCI-9.1.5-04', 'PCI-9.2.2-01', 'PCI-9.2.2-03']"
PCI-10.2.2-02+1,DE0 12 H2,DE0 2 H2,223.0,2030,20000.0,H2 pipeline,0.0,"['PCI-10.2.2-02', 'PCI-10.2.2-03']"
PCI-11.3-01,DE0 12 H2,PCI-PMI 3 H2,308.4,2030,20546.0,H2 pipeline,1.0,['PCI-11.3-01']
PCI-10.2.1-01,DE0 2 H2,CZ0 0 H2,266.2,2030,6000.0,H2 pipeline,0.0,['PCI-10.2.1-01']
PCI-10.2.2-01,DE0 2 H2,DE0 12 H2,223.0,2030,10000.0,H2 pipeline,0.0,['PCI-10.2.2-01']
PCI-11.2-01,DE0 2 H2,PL0 0 H2,280.7,2030,7039.0,H2 pipeline,0.0,['PCI-11.2-01']
PCI-9.1.6-02,DE0 3 H2,DE0 0 H2,178.2,2030,8000.0,H2 pipeline,0.0,['PCI-9.1.6-02']
PCI-9.7.3-02,DE0 3 H2,DE0 10 H2,149.6,2027,8294.0,H2 pipeline,0.0,['PCI-9.7.3-02']
