id,bus,build_year,e_nom,carrier,tags
DK0 0 co2 sequestered,DK0 0 co2 sequestered,2027,14000000.0,co2 sequestered,['PCI-13.10-01']
DK1 0 co2 sequestered,DK1 0 co2 sequestered,2027,14000000.0,co2 sequestered,['PCI-13.10-02']
FR0 6 co2 sequestered,FR0 6 co2 sequestered,2030,2000000.0,co2 sequestered,['PCI-13.12-01']
GR0 0 co2 sequestered,GR0 0 co2 sequestered,2028,1000000.0,co2 sequestered,['PCI-13.11-01']
HR0 0 co2 sequestered,HR0 0 co2 sequestered,2028,630800.0,co2 sequestered,['PCI-13.9-01']
NO1 2 co2 sequestered,NO1 2 co2 sequestered,2029,1500000.0,co2 sequestered,['PCI-13.14-01']
PCI-PMI 10 co2 sequestered,PCI-PMI 10 co2 sequestered,2028,8333333.0,co2 sequestered,"['PCI-13.1-03', 'PCI-13.2-01', 'PCI-13.2-02', 'PCI-13.2-03', 'PCI-13.2-04']"
PCI-PMI 11 co2 sequestered,PCI-PMI 11 co2 sequestered,2029,26500000.0,co2 sequestered,"['PCI-13.8-01', 'PCI-13.8-03', 'PCI-13.13-01']"
PCI-PMI 12 co2 sequestered,PCI-PMI 12 co2 sequestered,2029,2000000.0,co2 sequestered,"['PCI-13.5-01', 'PCI-13.5-02', 'PCI-13.5-03', 'PCI-13.5-04']"
PCI-PMI 14 co2 sequestered,PCI-PMI 14 co2 sequestered,2030,3300000.0,co2 sequestered,"['PCI-13.4-01', 'PCI-13.4-02', 'PCI-13.6-01', 'PCI-13.6-02']"
PCI-PMI 9 co2 sequestered,PCI-PMI 9 co2 sequestered,2026,1666666.0,co2 sequestered,"['PCI-13.1-01', 'PCI-13.1-02']"
